"","","","I am not a worrier","I like to have a lot of people around me.","I enjoy concentrating on a fantasy or daydream and exploring all its possibilities, letting it grow and develop.","I try to be courteous to everyone I meet.","I keep my belongings neat and clean.","At times I have felt bitter and resentful.","I laugh easily.","I think it's interesting to learn and develop new hobbies.","At times I bully or flatter people into doing what I want them to.","I'm pretty good about pacing myself so as to get things done on time.","When I'm under a great deal of stress, sometimes I feel like I'm going to pieces.","I prefer jobs that let me work alone without being bothered by other people.","I am intrigued by the patterns I find in art and nature.","Some people think I'm selfish and egotistical.","I often come into situations without being fully prepared.","I rarely feel lonely or blue.","I really enjoy talking to people.","I believe letting students hear controversial speakers can only confuse and mislead them.","If someone starts a fight, I'm ready to fight back.","I try to perform all the tasks assigned to me conscientiously.","I often feel tense and jittery.","I like to be where the action is.","Poetry has little or no effect on me.","I'm better than most people, and I know it.","I have a clear set of goals and work toward them in an orderly fashion.","Sometimes I feel completely worthless.","I shy away from crowds of people.","I would have difficulty just letting my mind wander without control or guidance.","When I've been insulted, I just try to forgive and forget.","I waste a lot of time before settling down to work.","I rarely feel fearful or anxious.","I often feel as if I'm bursting with energy.","I seldom notice the moods or feelings that different environments produce.","I tend to assume the best about people.","I work hard to accomplish my goals.","I often get angry at the way people treat me.","I am a cheerful, high-spirited person.","I experience a wide range of emotions or feelings.","Some people think of me as cold and calculating.","When I make a commitment, I can always be counted on to follow through.","Too often, when things go wrong, I get discouraged and feel like giving up.","I don't get much pleasure from chatting with people.","Sometimes when I am reading poetry or looking at a work or art, I feel a chill or wave of excitement.","I have no sympathy for beggars.","Sometimes I'm not as dependable or reliable as I should be.","I am seldom sad or depressed.","My life is fast-paced.","I have little interest in speculating on the nature of the universe or the human condition.","I generally try to be thoughtful and considerate.","I am a productive person who always gets the job done.","I often feel helpless and want someone else to solve my problems.","I am a very active person.","I have a lot of intellectual curiosity.","If I don't like people, I let them know it.","I never seem to be able to get organized.","At times I have been so ashamed I just wanted to hide.","I would rather go my own way than be a leader of others.","I often enjoy playing with theories or abstract ideas.","If necessary, I am willing to manipulate people to get what I want.","I strive for excellence in everything I do.","N Total","E TOTAL","O TOTAL","A TOTAL","C TOTAL","SEX","Age","N T-score","E T-score","O T- Score","A T-Score","C T-Score"
"A00039895","Adult- Age 22-59","V1","1","2","3","4","3","0","4","4","4","1","3","3","2","4","2","0","4","4","1","3","0","2","3","3","2","0","3","4","3","1","0","2","2","4","3","0","4","2","4","3","1","4","4","4","1","0","3","2","4","3","1","2","4","3","3","0","2","2","3","3","6","35","36","41","28","2","50","29","60","61","63","43"
"A00033849","Adult- Age 22-59","V1","2","1","1","0","2","3","4","3","4","2","2","3","3","3","3","3","3","3","3","3","2","1","2","3","2","0","3","3","1","2","2","2","3","4","3","3","2","2","4","3","2","3","2","4","1","1","3","3","4","2","1","3","3","2","3","2","2","2","3","3","23","30","30","35","29","2","57","51","52","51","52","44"
"A00028152","Adult- Age 22-59","V1","2","3","1","4","1","2","4","4","3","2","3","2","4","3","1","2","4","2","2","2","3","3","2","2","2","1","3","3","2","1","2","2","3","3","1","2","3","3","3","2","2","3","2","3","0","2","3","3","4","2","1","3","3","2","1","1","2","2","4","1","23","35","32","35","16","1","51","55","63","57","59","25"
"A00073705","ONE_DAY-Age 65-85","VA","3","1","3","3","3","1","3","4","3","3","3","3","3","3","1","1","3","4","2","3","1","3","3","1","3","2","3","3","3","3","1","3","3","3","3","1","3","3","3","3","1","4","3","3","3","1","3","3","3","3","1","3","3","3","3","1","3","3","3","3","17","35","38","33","34","2","78","43","60","64","49","52"
"A00037459","Child- Age 13","V1","4","4","3","3","2","3","3","3","3","3","1","4","2","3","3","3","3","3","2","3","1","3","2","3","3","1","3","3","4","4","3","3","3","3","3","2","3","0","4","4","1","4","1","1","1","3","1","0","3","3","1","3","2","1","1","0","4","3","3","4","23","38","25","33","34","1","13","55","68","46","55","53"
"A00031683","Adult- Age 22-59","V1","4","1","2","4","2","3","3","3","4","4","3","0","2","4","1","4","4","1","4","4","4","1","4","3","1","4","0","0","4","0","2","1","3","4","1","4","3","2","4","3","3","0","1","3","3","3","4","4","4","3","3","2","4","4","3","3","1","0","4","1","40","20","26","46","26","1","51","75","38","48","75","40"
"A00065565","ONE_DAY-Age 65-85","VA","2","0","1","3","3","3","3","3","3","3","1","2","3","3","1","3","4","3","1","3","1","3","1","3","3","3","4","1","2","3","4","4","1","3","4","1","2","3","3","4","1","4","2","2","3","3","0","3","3","3","1","2","3","3","3","1","1","1","3","2","24","29","25","32","35","1","84","57","53","46","54","55"
"A00053576","Adult-Age 18-21","V1","2","3","3","4","3","3","4","4","4","3","3","3","2","4","3","1","4","3","2","3","0","3","2","4","3","1","4","3","2","3","1","3","3","4","4","0","4","1","4","3","1","3","1","4","3","4","2","3","4","3","1","3","3","3","3","0","3","2","4","3","17","39","30","43","37","2","20","43","66","51","66","56"
"A00027167","Child - Age 14","V1","2","2","1","4","2","3","4","4","4","2","1","1","3","4","3","2","4","3","4","3","0","2","2","4","2","2","2","4","4","3","2","2","3","1","4","0","3","3","4","3","1","3","2","3","3","1","2","3","3","3","1","2","3","3","3","2","2","1","4","4","17","29","32","42","35","2","14","43","50","54","65","53"
"A00030989","Adult- Age 22-59","V1","3","2","1","4","3","2","3","3","4","1","3","1","1","1","1","2","3","3","4","3","1","1","1","3","0","3","2","1","3","1","2","1","1","3","3","1","2","3","4","3","4","3","3","3","1","3","3","3","4","3","2","3","4","3","2","3","0","3","4","3","29","24","27","40","24","2","30","59","42","46","61","36"
"A00061600","ONE_DAY-Age 65-85","VA","3","1","2","4","1","3","4","4","3","1","1","1","4","1","3","3","3","3","3","4","0","2","3","2","2","0","1","3","1","1","1","2","4","3","2","1","4","3","4","4","0","3","3","4","3","1","4","4","4","3","0","3","4","4","1","0","3","4","3","4","13","31","41","36","29","1","65","41","56","72","61","45"
"A00039432","Adult- Age 22-59","V1","4","2","1","3","4","3","3","2","4","3","3","0","2","4","3","2","3","3","3","4","3","2","1","3","3","1","1","2","1","4","1","1","3","3","4","1","2","3","4","4","1","3","2","3","4","3","3","3","4","4","1","2","3","3","3","1","1","3","3","4","24","23","28","38","44","2","59","52","40","48","58","67"
"A00053455","ENROLLED","V1","3","1","3","3","2","2","2","3","3","2","3","1","3","3","3","3","2","3","3","4","1","1","3","3","2","3","2","3","1","2","3","1","3","3","2","1","1","2","3","2","2","3","2","3","2","2","1","4","3","2","2","1","3","3","2","4","1","3","3","2","29","17","35","34","27","2","38","59","31","59","51","41"
"A00058999","ENROLLED","V1","0","2","1","2","4","0","2","3","4","2","0","4","1","4","4","1","3","3","3","1","0","1","1","4","2","0","3","4","3","3","1","0","3","1","3","1","2","0","4","3","0","3","0","2","4","4","1","1","3","2","0","2","0","4","4","0","4","0","4","1","7","27","17","38","33","2","21","31","47","30","58","50"
"A00060185","Older Adult- Age 65-85","V1","2","1","1","3","2","3","2","3","2","1","3","3","2","2","1","3","3","2","3","3","1","2","3","3","1","1","1","1","1","3","3","2","3","3","3","3","2","2","1","4","2","3","2","3","1","3","1","3","3","2","1","3","2","2","3","3","3","2","2","2","28","26","26","28","26","2","68","57","45","45","40","40"
"A00038805","Older Adult- Age 65-85","V1","0","2","2","4","3","3","3","3","3","3","1","2","2","2","3","2","3","4","3","4","1","2","2","2","1","2","2","2","2","3","1","3","4","3","3","0","3","2","3","4","1","4","1","4","2","1","1","4","4","3","1","2","3","3","3","0","2","4","2","4","13","29","33","35","36","2","70","38","50","56","52","55"
"A00062370","ONE_DAY-AGE 16-17","VA","3","2","3","2","3","1","2","3","4","3","2","2","3","3","2","3","3","2","2","3","2","3","2","2","3","1","3","1","3","3","1","3","2","2","3","2","3","2","3","3","1","1","3","2","3","3","2","2","2","3","1","3","2","2","3","1","3","2","3","3","21","30","27","30","35","1","16","53","55","50","50","55"
"A00043758","Adolescent- Age  16-17","V1","2","1","3","3","1","2","3","2","4","0","3","0","3","3","1","3","1","2","4","2","1","1","1","4","1","3","0","3","2","1","2","1","2","3","1","1","1","3","4","3","4","1","0","1","2","3","2","1","3","1","3","1","2","3","1","3","1","2","3","1","30","13","24","37","15","2","16","60","25","41","56","25"
"A00065379","ONE_DAY","VA","0","2","2","3","1","2","1","3","2","3","1","2","2","3","3","1","4","2","1","4","1","2","1","1","3","1","4","2","4","4","1","1","2","3","3","2","3","2","1","3","1","4","1","1","3","1","3","2","3","3","0","1","3","2","2","0","3","2","1","3","11","30","24","25","35","1","42","39","55","45","41","55"
"A00044011","Adult- Age 22-59","V1","3","2","1","4","3","3","4","4","4","3","2","4","4","2","3","1","4","4","2","4","1","3","3","2","4","1","4","3","3","2","1","1","4","4","4","1","3","3","4","4","1","4","3","4","3","1","4","4","4","3","0","4","4","3","2","3","3","4","3","4","18","40","41","39","39","2","44","45","68","69","59","60"
"A00034385","Adult- Age 22-59","V1","4","0","0","4","4","0","4","2","4","4","2","3","1","4","3","2","3","3","2","3","2","1","2","4","3","2","3","3","3","4","2","4","2","1","4","1","3","2","4","4","0","3","2","4","4","2","2","2","4","4","0","3","3","1","4","3","0","1","4","4","20","29","23","39","45","2","34","47","50","40","59","69"
"A00063383","ONE_DAY-AGE 16-17","VA","2","2","1","3","1","3","4","3","2","1","3","3","2","3","1","2","3","3","3","3","1","3","1","3","3","1","3","3","1","1","2","1","3","3","3","3","3","3","3","3","2","3","1","1","3","1","2","1","3","1","1","1","1","2","2","1","2","1","3","3","22","30","23","30","25","2","17","50","52","40","44","38"
"A00037267","Adult- Age 22-59","V1","2","2","0","4","3","1","4","3","3","2","1","2","2","4","2","2","3","3","3","3","1","2","3","3","1","1","3","3","3","4","2","2","3","3","2","1","3","2","4","3","1","4","2","3","4","2","1","3","3","2","1","2","2","4","3","1","3","2","3","2","16","31","28","40","31","2","54","42","53","48","61","47"
"A00065574","ONE_DAY- Age 22-59","VA","3","3","3","4","2","2","3","3","2","2","3","2","3","3","1","3","3","4","2","3","3","3","3","3","2","2","3","3","3","1","3","3","4","3","3","2","3","4","3","3","2","3","3","3","1","3","3","3","4","2","2","4","3","3","3","2","3","3","3","3","30","36","39","36","26","","","0!WithErrors!","0!WithErrors!","0!WithErrors!","0!WithErrors!","0!WithErrors!"
"A00037378","Adult- Age 22-59","V1","4","2","4","4","2","3","4","4","4","4","2","2","4","2","4","0","3","2","2","4","3","4","1","2","4","3","0","0","4","2","0","2","4","3","4","4","4","4","0","4","2","1","2","3","3","3","2","4","4","2","0","4","3","4","2","0","2","2","4","4","24","30","34","36","39","1","24","57","55","61","61","61"
"A00058229","Child Age 15","V1","3","2","4","2","2","1","4","3","2","1","3","2","3","1","1","1","2","3","2","2","1","3","3","3","1","3","2","4","1","1","2","2","3","2","2","2","2","3","1","2","3","2","2","3","1","3","4","3","2","1","3","2","3","2","1","2","2","3","1","2","27","29","37","22","17","1","15","61","53","65","36","25"
"A00051925","Adult- Age 22-59","V1","3","1","4","4","3","1","1","4","2","0","3","1","4","4","3","3","4","4","3","4","3","3","4","3","3","1","1","1","3","0","3","2","3","4","4","2","3","4","4","3","0","4","4","4","4","3","3","4","4","4","0","4","4","4","3","4","2","4","4","4","26","29","44","43","35","2","49","55","50","74","66","53"
"A00039118","Adult- Age 22-59","V1","3","0","0","4","2","1","1","0","4","2","3","2","4","4","1","3","2","2","2","3","3","2","4","4","1","1","0","2","1","3","4","4","3","1","2","2","2","3","3","3","2","2","4","2","2","2","3","4","3","2","1","3","1","3","1","4","1","2","4","1","29","22","29","35","23","2","49","59","39","50","52","35"
"A00066090","ONE_DAY- Age 22-59","VA","2","0","0","2","4","0","2","4","4","4","0","4","4","4","4","4","4","4","4","4","0","0","4","4","4","0","4","4","4","4","4","0","4","4","4","0","4","0","4","4","0","4","0","2","2","2","2","3","2","2","2","2","2","2","2","2","2","2","2","2","16","28","31","38","40","1","23","46","51","56","64","63"
"A00051539","Adult- Age 22-59","V1","1","3","1","4","2","1","3","3","3","4","1","2","4","3","3","1","3","4","3","3","2","3","3","3","2","1","3","2","3","3","1","3","2","4","4","2","3","3","4","3","1","3","3","4","2","1","2","3","4","3","1","2","4","4","3","1","2","2","3","4","14","32","34","42","36","2","28","40","55","58","65","55"
"A00038998","ENROLLED","V1REP","2","3","0","4","3","2","1","2","3","1","1","3","1","4","1","2","3","3","2","3","2","2","0","3","1","1","3","1","1","2","2","0","3","2","2","1","1","3","4","2","2","3","0","3","2","1","2","1","3","2","2","2","1","3","3","2","1","1","3","2","20","24","16","35","24","1","28","51","45","32","59","36"
"A00028678","Older Adult- Age 65-85","V1","1","1","1","4","4","3","3","3","3","3","1","3","3","3","3","1","3","3","2","3","1","3","2","3","3","1","2","1","1","2","1","2","3","3","3","3","3","3","3","3","2","3","2","3","3","1","3","3","3","3","1","3","3","3","3","1","3","2","3","3","17","32","29","34","36","1","69","47","58","53","57","56"
"A00039500","Adult- Age 22-59","V1","3","2","3","3","3","2","2","2","1","2","2","2","1","2","1","2","3","1","2","4","2","2","1","2","3","1","3","3","3","3","2","1","1","3","4","3","3","3","1","4","2","3","1","2","3","2","4","1","3","4","1","3","2","2","2","1","2","1","3","4","23","30","20","27","37","2","45","51","52","35","38","56"
"A00065873","ONE_DAY- Age 22-59","VA","3","1","3","0","3","1","4","4","2","3","2","1","3","4","3","1","3","4","2","4","1","2","3","3","3","0","2","4","2","3","1","2","3","2","4","2","4","4","4","4","1","3","3","4","4","3","2","4","4","4","0","3","4","2","4","0","2","3","2","3","15","29","42","31","42","2","52","41","50","70","45","64"
"A00035378","Adult- Age 22-59","V1","2","4","3","3","1","3","3","4","2","4","1","3","4","1","1","3","3","4","3","4","1","3","3","2","1","1","1","1","3","4","4","2","4","4","4","2","3","3","2","4","1","1","3","4","4","3","3","4","4","4","2","4","4","1","1","0","1","2","4","4","23","31","39","33","36","2","54","51","53","66","49","55"
"A00038706","Child- Age 13","V1","2","2","3","2","2","0","1","2","2","2","1","3","1","3","1","1","2","2","1","2","1","2","2","3","2","1","2","1","1","1","2","1","1","2","2","3","2","2","4","2","1","3","3","3","1","1","2","2","2","2","3","2","3","1","2","3","3","2","3","2","19","25","24","27","21","1","13","50","46","45","45","31"
"A00045589","Older Adult- Age 60-64","V1","3","1","0","4","0","3","3","2","3","0","3","1","3","4","1","3","2","4","0","1","2","2","0","1","1","3","1","2","2","0","3","2","3","3","0","3","1","3","3","4","3","1","2","4","1","3","2","3","3","1","2","2","3","2","0","3","1","3","2","2","34","19","28","31","11","1","63","71","37","51","52","25"
"A00061210","ONE_DAY- Age 22-59","VA","3","1","2","2","4","0","2","4","2","4","1","0","3","1","4","1","3","4","1","4","1","1","2","1","3","0","0","3","2","2","2","3","3","2","3","2","1","4","1","2","0","0","3","3","4","0","2","4","4","4","0","3","4","4","4","1","0","4","1","4","11","16","40","24","42","1","57","39","32","70","39","66"
"A00039975","Older Adult- Age 65-85","V1","2","1","0","3","2","3","3","3","4","3","3","3","3","3","1","3","3","3","1","3","1","2","1","3","1","3","1","1","1","2","1","3","2","2","1","1","3","4","3","4","1","0","3","3","3","4","1","3","3","4","2","3","4","1","3","3","3","0","4","1","27","26","27","31","28","1","65","61","48","50","52","43"
"A00044100","Adult- Age 22-59","V1","3","2","2","4","3","3","3","3","4","3","0","1","2","4","3","1","4","4","2","3","0","2","1","4","3","0","4","4","1","1","1","3","3","4","3","1","4","0","4","4","2","4","1","4","4","0","2","4","4","4","0","3","3","3","2","0","2","2","2","3","11","34","29","40","36","2","54","36","58","50","61","55"
"A00064323","ONE_DAY-Age 65-85","VA","1","3","3","4","3","3","4","4","4","2","3","3","4","3","4","3","4","4","3","4","3","2","3","1","3","3","1","3","4","3","3","2","3","4","3","1","4","4","4","4","3","4","4","4","3","3","1","4","4","3","2","3","4","4","3","3","1","4","3","3","31","32","44","42","38","1","65","67","58","75","71","60"
"A00061407","ONE_DAY","VA","2","2","0","3","3","1","3","3","3","3","1","2","3","3","3","3","3","2","2","3","0","2","2","1","3","1","3","3","1","3","1","2","3","3","4","1","3","3","3","3","1","3","1","3","3","1","1","3","3","4","1","2","3","2","3","1","3","2","3","3","14","29","28","30","38","2","42","40","50","48","44","58"
"A00063455","ONE_DAY-Age 65-85","VA","2","2","4","4","3","1","3","4","4","2","1","2","2","4","3","0","3","3","3","4","1","3","1","4","3","0","3","4","4","3","1","3","2","4","4","1","4","3","4","4","0","3","2","3","4","0","2","3","4","4","0","3","3","3","4","0","3","3","4","4","7","34","34","45","42","1","66","33","61","61","75","66"
"A00039041","Older Adult- Age 60-64","V1","2","3","3","4","3","3","3","3","1","3","3","2","4","4","3","1","4","4","4","4","1","3","3","3","3","1","3","3","3","3","1","2","3","4","4","2","4","3","4","4","1","3","3","4","3","1","3","3","4","4","1","3","4","2","3","1","3","3","1","4","18","36","39","38","41","2","60","45","61","66","58","63"
"A00037831","Adult- Age 22-59","V1","2","2","1","4","4","2","3","3","3","3","3","1","1","3","3","1","4","3","3","3","1","2","1","4","1","0","1","3","0","4","1","2","2","3","3","2","3","3","4","3","1","4","2","2","3","2","2","1","4","3","1","2","2","2","4","1","1","0","4","3","17","27","22","36","37","2","49","43","47","38","54","56"
"A00039845","Older Adult- Age 65-85","V1","1","2","1","4","2","0","3","3","4","3","1","2","3","3","2","1","3","4","3","3","1","2","2","3","2","0","3","3","2","2","1","1","2","3","3","1","3","3","2","3","1","3","3","3","3","2","1","3","4","3","0","2","3","3","2","2","2","2","3","2","11","27","32","37","30","2","72","36","47","54","56","46"
"A00039559","Older Adult- Age 65-85","V1","2","3","1","4","3","1","3","4","3","3","1","1","3","3","3","1","3","2","3","3","2","3","3","4","3","3","3","3","3","3","2","2","1","3","3","1","3","1","3","3","1","3","3","3","4","2","1","3","3","3","1","3","3","3","3","1","1","2","3","3","18","29","29","38","37","1","66","48","53","53","64","58"
"A00039431","Adult- Age 22-59","V1","3","1","1","4","3","3","3","3","4","3","3","3","1","3","3","1","3","3","3","3","1","1","3","3","3","1","3","1","4","3","3","1","3","3","0","1","3","3","4","3","1","3","3","3","3","1","3","1","3","3","0","1","3","3","3","1","3","1","4","4","19","28","26","41","34","2","33","46","48","45","63","52"
"A00039846","Adult- Age 22-59","V1","1","2","2","4","3","1","2","4","4","3","1","3","3","3","3","2","4","4","3","4","3","1","3","1","3","1","3","1","3","3","1","3","3","3","3","1","4","4","4","3","1","4","4","2","3","1","3","4","4","4","1","4","4","4","4","0","1","1","3","4","14","34","37","38","40","2","58","40","58","62","58","61"
"A00064416","ONE_DAY-Age 16-17","VA","4","3","1","4","3","3","4","3","4","0","4","4","2","4","4","3","4","3","4","3","4","3","1","4","1","3","0","1","0","0","4","4","1","3","4","2","4","4","4","4","3","2","1","3","4","1","2","2","4","3","2","4","4","4","3","1","3","0","4","2","34","37","23","42","31","2","17","65","63","40","65","47"
"A00062989","ONE_DAY-Age 15","VA","3","2","3","4","4","3","2","3","2","3","4","1","4","3","2","3","0","3","3","4","4","2","3","2","3","3","0","3","2","2","4","3","3","2","4","2","2","3","2","3","2","1","3","4","3","3","2","3","3","4","3","2","3","3","4","3","1","2","3","4","37","18","36","33","40","2","15","69","32","61","49","61"
"A00052180","Adult- Age 22-59","V1","3","2","2","0","3","3","3","3","2","4","2","3","3","4","3","0","3","3","1","3","1","3","1","3","3","0","4","3","1","3","1","1","1","3","3","1","3","3","3","3","1","3","1","3","3","3","3","3","3","3","1","3","3","3","3","1","1","3","3","3","17","32","29","29","37","2","47","43","55","50","42","56"
"A00039700","Older Adult- Age 65-85","V1","2","1","2","4","2","4","4","4","4","1","3","3","4","1","3","1","4","4","4","4","1","1","4","4","2","3","3","3","1","1","3","2","3","3","3","1","4","4","4","2","3","4","4","4","1","3","2","4","4","2","1","3","4","2","1","3","3","3","4","3","28","34","43","39","25","2","77","57","58","72","59","38"
"A00035291","Child- Age 13","V1","0","4","4","4","2","3","4","4","3","4","0","4","3","3","2","0","4","2","2","3","0","2","0","2","0","0","2","2","0","1","0","2","2","2","4","4","4","0","4","4","0","4","0","1","4","4","0","0","4","4","0","4","1","0","3","1","3","0","3","4","12","37","18","28","35","2","13","37","63","32","40","53"
"A00052423","Older Adult- Age 65-85","V1","2","1","1","3","4","1","2","2","4","3","0","2","3","3","3","2","3","3","2","3","1","3","2","3","3","1","2","3","1","3","3","1","3","3","3","1","2","3","3","3","1","3","2","2","3","2","2","2","3","3","0","3","3","2","3","0","3","2","4","3","14","27","29","33","37","1","71","43","50","53","55","58"
"A00040152","Older Adult- Age 65-85","V1","1","2","1","4","4","2","3","3","4","3","1","3","3","3","3","1","3","3","2","3","1","2","1","3","3","0","2","3","3","3","1","1","3","3","4","2","3","2","3","3","1","3","3","3","3","1","2","3","3","3","0","3","3","2","3","2","3","3","3","4","13","30","31","36","39","1","76","41","55","56","61","61"
"A00060664","Child-Age 12","V1","0","3","3","4","4","4","4","4","4","4","2","4","4","4","2","2","4","0","4","4","2","2","3","4","4","2","1","2","4","2","3","3","2","4","4","2","4","2","2","4","4","2","3","2","3","4","0","2","4","4","3","4","4","4","2","4","2","2","3","3","32","33","31","43","40","2","12","62","56","53","66","61"
